,brand,model
921,samsung,galaxy s22
922,huawei,p30
923,samsung,galaxy a52s
924,xiaomi,12
925,realme,x3
926,ulefone,armor x9
927,apple,iphone 8
928,motorola,one vision
929,samsung,galaxy a51
930,samsung,galaxy s20
931,xiaomi,redmi note 5
932,apple,iphone xr
933,samsung,galaxy s21
934,samsung,galaxy s21
935,cubot,pocket
936,oppo,a76
937,samsung,galaxy a52
938,xiaomi,redmi 10a
939,apple,iphone xr
940,cat,s53
941,samsung,galaxy a23
942,samsung,galaxy s21
943,tcl,403
944,xiaomi,redmi 9c
945,xiaomi,redmi 9c
946,xiaomi,redmi note 11
947,samsung,galaxy s21
948,samsung,galaxy a10
949,xiaomi,redmi 9
950,xiaomi,m5s
951,apple,iphone 7
952,xiaomi,redmi note 9
953,huawei,p50
954,motorola,moto g42
955,realme,9 pro
956,realme,c35
957,sony,xperia xz2
958,apple,iphone xs
959,samsung,galaxy a32
960,samsung,galaxy s22
961,samsung,galaxy s21
962,xiaomi,x3
963,samsung,galaxy note 10
964,samsung,galaxy s21
965,realme,7
966,apple,iphone 14
967,motorola,moto e32
968,motorola,razr 2022
969,realme,8i
970,realme,9
971,realme,c25y
972,xiaomi,mi note 10
973,xiaomi,redmi note 10
974,xiaomi,redmi note 8t
975,xiaomi,9 pro
976,xiaomi,9 pro
977,apple,iphone 13
978,apple,iphone 13
979,apple,iphone 14
980,apple,iphone 14
981,samsung,galaxy s20
982,samsung,galaxy z flip4
983,samsung,galaxy z fold4
984,xiaomi,13
985,xiaomi,redmi 9at
986,hammer,explorer plus eco
987,motorola,edge 30
988,nokia,xr20
989,poco,m5s
990,apple,iphone 12
991,realme,c21y
992,huawei,p20
993,apple,iphone 12
994,poco,c40
995,realme,x50 pro
996,samsung,galaxy a33
997,xiaomi,mi 10t
998,apple,iphone xs
999,oneplus,nord
1000,samsung,s10+
1001,samsung,s10+
1002,apple,iphone xr
1003,huawei,p30
1004,oppo,a16
1005,realme,7
1006,samsung,galaxy s22
1007,vivo,y72
1008,xiaomi,redmi 12c
1009,apple,iphone xr
1010,huawei,p20
1011,oppo,reno 2
1012,xiaomi,mi 11
1013,realme,c25y
1014,samsung,galaxy a34
1015,ulefone,power armor 19
1016,hammer,explorer
1017,samsung,galaxy a22
1018,samsung,galaxy a50
1019,samsung,galaxy m13
1020,samsung,galaxy s23
1021,xiaomi,11t
1022,huawei,nova 10
1023,xiaomi,11 pro
1024,motorola,moto g31
1025,motorola,moto g6
1026,qubo,x-626
1027,samsung,galaxy a04s
1028,samsung,galaxy a70
1029,xiaomi,redmi note 9
1030,realme,gt2
1031,apple,iphone 12
1032,honor,magic 4
1033,honor,x8a
1034,blackview,a60
1035,spc,discovery
1036,ulefone,armor 8
1037,xiaomi,redmi 10
1038,xiaomi,redmi note 8
1039,apple,iphone 13
1040,apple,iphone xs
1041,oppo,a76
1042,oneplus,nord
1043,realme,9 pro
1044,ulefone,armor x6
1045,xiaomi,11 pro
1046,apple,iphone xs
1047,cat,s75
1048,honor,x6
1049,xiaomi,m5s
1050,poco,m4
1051,realme,gt2
1052,spc,smart 2
1053,xiaomi,redmi 10
1054,xiaomi,redmi note 11
1055,apple,iphone 12
1056,samsung,galaxy a42
1057,cubot,note 8
1058,samsung,galaxy a13
1059,samsung,galaxy s21
1060,huawei,nova 9
1061,apple,iphone xr
1062,cubot,j20
1063,motorola,moto g31
1064,samsung,galaxy a04s
1065,samsung,galaxy a13
1066,samsung,galaxy note 20
1067,samsung,galaxy s20
1068,apple,iphone 11
1069,apple,iphone 8
1070,alcatel,1se
1071,samsung,galaxy a53
1072,xiaomi,mi 10t
1073,huawei,mate 20
1074,samsung,galaxy a13
1075,xiaomi,12
1076,xiaomi,redmi 10a
1077,apple,iphone 11
1078,apple,iphone se (gen 3)
1079,apple,iphone xr
1080,oppo,a17
1081,oneplus,8t
1082,samsung,galaxy a22
1083,samsung,s10+
1084,vivo,y33s
1085,apple,iphone 12
1086,huawei,p smart 2020
1087,realme,x50
1088,samsung,galaxy a13
1089,samsung,galaxy a23
1090,xiaomi,redmi 12c
1091,apple,iphone 11
1092,asus,rog phone 5
1093,huawei,p30
1094,huawei,p30
1095,oneplus,9 pro
1096,samsung,galaxy a32
1097,apple,iphone 11
1098,apple,iphone xr
1099,cat,b35
1100,huawei,mate 20
1101,samsung,galaxy s23
1102,apple,iphone 12
1103,huawei,8i
1104,poco,f4
1105,realme,x2
1106,samsung,galaxy z flip4
1107,ulefone,power armor 16
1108,ulefone,power armor 18t
1109,motorola,edge 20
1110,realme,9 pro
1111,cubot,king kong 6
1112,xiaomi,shark 4
1113,honor,70
1114,samsung,galaxy s20
1115,samsung,galaxy s21
1116,xiaomi,redmi note 8t
1117,xiaomi,redmi note 10
1118,oppo,reno4
1119,realme,9i
1120,samsung,galaxy a13
1121,xiaomi,12t
1122,apple,iphone 11
1123,oppo,reno2 z
1124,xiaomi,redmi note 10
1125,microsoft,surface duo
1126,poco,m4
1127,realme,9 pro
1128,realme,c21y
1129,realme,c21y
1130,realme,c31
1131,samsung,galaxy a12
1132,samsung,galaxy m12
1133,samsung,s10+
1134,samsung,galaxy s21
1135,samsung,galaxy s23
1136,vivo,y01
1137,xiaomi,mi 8
1138,xiaomi,mi a2
1139,xiaomi,redmi 10
1140,xiaomi,redmi note 10
1141,xiaomi,redmi note 10
1142,xiaomi,11 pro
1143,xiaomi,redmi note 11s
1144,xiaomi,redmi note 8
1145,realme,8
1146,xiaomi,shark 5
1147,honor,x6
1148,xiaomi,9t
1149,oppo,x2
1150,samsung,galaxy z flip4
1151,xiaomi,10
1152,samsung,galaxy s22
1153,oppo,a94
1154,realme,c35
1155,samsung,galaxy s21
1156,xiaomi,mi 11i
1157,blackview,bl5000
1158,huawei,p40
1159,realme,8
1160,realme,c33
1161,samsung,galaxy a23
1162,samsung,galaxy s22
1163,xiaomi,11 lite
1164,xiaomi,mi 9
1165,xiaomi,redmi note 10
1166,realme,8
1167,apple,iphone 13
1168,apple,iphone 13
1169,apple,iphone 13
1170,huawei,p30
1171,samsung,galaxy a20e
1172,samsung,galaxy a50
1173,samsung,galaxy a70
1174,samsung,s10e
1175,samsung,galaxy s20
1176,apple,iphone 12
1177,realme,9 pro
1178,samsung,galaxy a13
1179,samsung,galaxy xcover 5
1180,samsung,galaxy z flip4
1181,xiaomi,12t
1182,apple,iphone 12
1183,apple,iphone 7
1184,huawei,p30
1185,realme,x50 pro
1186,xiaomi,mi 10t
1187,xiaomi,redmi 10
1188,xiaomi,redmi 9a
1189,vivo,y72
1190,zte,blade a52
1191,cubot,king kong mini 2
1192,samsung,galaxy a53
1193,samsung,galaxy s22
1194,samsung,galaxy s21
1195,vivo,x90
1196,xiaomi,9t
1197,huawei,p40
1198,realme,gt2
1199,samsung,galaxy a14
1200,xiaomi,11t pro
1201,xiaomi,12x
1202,oppo,a57
1203,oppo,reno6
1204,samsung,galaxy s20
1205,samsung,galaxy s22
1206,samsung,galaxy s9
1207,apple,iphone 11
1208,honor,magic4
1209,oppo,reno4
1210,oneplus,9
1211,oppo,a53s
1212,poco,x4
1213,realme,c30
1214,ulefone,x5 pro
1215,xiaomi,redmi note 9
1216,samsung,galaxy a21s
1217,huawei,nova 10
1218,huawei,p30
1219,oppo,a16s
1220,samsung,galaxy s20
1221,samsung,galaxy z fold 3
1222,xiaomi,redmi 10
1223,apple,iphone 7
1224,apple,iphone 11
1225,oppo,x2
1226,samsung,galaxy s20
1227,samsung,galaxy s21
1228,samsung,galaxy xcover6
1229,samsung,galaxy z flip 3
1230,tcl,20 r
1231,ulefone,power armor 14
1232,xiaomi,mi 10t
1233,xiaomi,mi note 10
1234,apple,iphone 12
1235,cubot,king kong mini 2
1236,oppo,a96
1237,oppo,find x2 neo
1238,samsung,galaxy a12
1239,xiaomi,11 pro
1240,apple,iphone 13
1241,xiaomi,redmi 9a
1242,apple,iphone 11
1243,apple,iphone 11
1244,apple,iphone 11
1245,apple,iphone 11
1246,apple,iphone 12
1247,apple,iphone 12
1248,apple,iphone 13
1249,apple,iphone 7
1250,apple,iphone 7
1251,apple,iphone 7
1252,apple,iphone se
1253,apple,iphone xr
1254,apple,iphone xr
1255,apple,iphone xr
1256,apple,iphone xs
1257,apple,iphone xs
1258,asus,zenfone 7
1259,huawei,p smart 2019
1260,oneplus,6
1261,oneplus,8
1262,samsung,galaxy a12
1263,samsung,galaxy a12
1264,samsung,galaxy a21s
1265,samsung,galaxy a40
1266,samsung,galaxy a52s
1267,samsung,galaxy j5
1268,samsung,note 8
1269,samsung,galaxy s20
1270,samsung,galaxy z flip4
1271,xiaomi,10
1272,xiaomi,10
1273,xiaomi,10
1274,xiaomi,10
1275,xiaomi,9t
1276,xiaomi,redmi note 10
1277,xiaomi,9 pro
1278,apple,iphone 13
1279,apple,iphone 13
1280,apple,iphone 7
1281,apple,iphone 7
1282,apple,iphone 7
1283,huawei,y6p
1284,nokia,5.4
1285,oppo,reno8
1286,oneplus,7
1287,oneplus,7t
1288,oppo,x2
1289,samsung,galaxy a12
1290,samsung,galaxy a21s
1291,samsung,s10e
1292,samsung,galaxy s20
1293,samsung,galaxy z fold4
1294,xiaomi,redmi note 10
1295,nokia,c2
1296,asus,zenfone 9
1297,alcatel,1b
1298,bq,aquaris c
1299,xiaomi,shark 4
1300,xiaomi,shark 5
1301,blackview,a100
1302,blackview,a100
1303,blackview,a100
1304,blackview,a100
1305,blackview,a55
1306,blackview,a55
1307,blackview,a55
1308,blackview,a55
1309,blackview,a70
1310,blackview,a80
1311,blackview,a80
1312,blackview,a80
1313,blackview,a90
1314,blackview,a90
1315,blackview,a90
1316,blackview,a90
1317,blackview,bl5000
1318,blackview,bv4900
1319,blackview,bv6300
1320,blackview,bv6600
1321,blackview,bv6600
1322,blackview,bv6600
1323,blackview,bv6600
1324,blackview,bv9900e
1325,blackview,bv4900
1326,cat,s42 h+
1327,crosscall,action-x5
1328,crosscall,core-m5
1329,crosscall,core-x5
1330,crosscall,core-x4
1331,cubot,j20
1332,cubot,king kong 5
1333,cubot,king kong mini 2
1334,cubot,max 3
1335,cubot,max 3
1336,cubot,note 30
1337,cubot,note 30
1338,cubot,note 8
1339,cubot,note 9
1340,cubot,note 9
1341,cubot,p50
1342,cubot,p50
1343,cubot,p60
1344,cubot,pocket
1345,cubot,pocket
1346,cubot,pocket
1347,doro,8050
1348,doro,8100
1349,doro,8100
1350,fairphone,3+
1351,funker,w5.5
1352,gigaset,gs195ls
1353,gigaset,gx290
1354,gigaset,gx290
1355,google,pixel 3a
1356,hammer,blade 3
1357,hammer,construction
1358,hammer,energy 2
1359,hammer,energy 2
1360,hammer,energy 2
1361,hammer,energy 2
1362,hammer,explorer
1363,hammer,explorer plus eco
1364,hammer,energy 2
1365,hammer,energy 2
1366,hammer,iron 3
1367,hammer,iron 3
1368,hammer,extreme
1369,hammer,extreme
1370,hammer,iron 4
1371,hammer,iron 4
1372,hammer,extreme
1373,hammer,extreme
1374,hammer,myphone blade
1375,honor,10
1376,honor,20
1377,honor,70
1378,honor,70
1379,honor,magic4
1380,honor,magic4
1381,honor,magic5
1382,honor,view 20
1383,honor,x7
1384,honor,x7a
1385,honor,x7a
1386,honor,x7a
1387,honor,x8
1388,huawei,mate 10
1389,huawei,mate 10
1390,huawei,mate 30
1391,huawei,nova 5t
1392,huawei,nova 5t
1393,huawei,p smart 2019
1394,huawei,p smart 2020
1395,huawei,p smart
1396,huawei,p smart
1397,huawei,p smart
1398,huawei,p20
1399,huawei,p20
1400,huawei,p30
1401,huawei,p30
1402,huawei,p30
1403,huawei,p40
1404,huawei,p40
1405,huawei,p40
1406,huawei,p40
1407,huawei,p40
1408,huawei,p40
1409,huawei,p40
1410,huawei,p40
1411,huawei,p8
1412,huawei,p8
1413,huawei,y6
1414,huawei,y6
1415,huawei,y6p
1416,lg,v40 thinq
1417,maxcom,ms572
1418,motorola,defy
1419,motorola,edge 20
1420,motorola,edge 20
1421,motorola,edge 20
1422,motorola,edge 30
1423,motorola,moto e20
1424,motorola,moto g31
1425,motorola,moto g32
1426,motorola,moto g41
1427,motorola,moto g41
1428,motorola,moto g42
1429,motorola,moto g51
1430,motorola,moto g5s
1431,motorola,moto g5s
1432,motorola,moto g62
1433,motorola,one zoom
1434,motorola,razr 5g
1435,nokia,3.4
1436,nokia,7
1437,nokia,c20
1438,nokia,c21
1439,nokia,c31
1440,nokia,g10
1441,nokia,x10
1442,oppo,a16
1443,oppo,a16
1444,oppo,a16
1445,oppo,a77
1446,oppo,a77
1447,oppo,a78
1448,oppo,a78
1449,oppo,a78
1450,oppo,reno6
1451,oppo,reno8
1452,oneplus,9
1453,oneplus,9 pro
1454,oppo,a54s
1455,oppo,a94
1456,oppo,x2
1457,oppo,reno4
1458,oppo,reno4
1459,oppo,reno4
1460,poco,f4
1461,poco,m5
1462,xiaomi,m5s
1463,xiaomi,m5s
1464,xiaomi,m5s
1465,xiaomi,m5s
1466,poco,x4
1467,poco,x4
1468,poco,x4
1469,poco,x4
1470,poco,x5
1471,poco,x5 pro
1472,qubo,p-668
1473,qubo,x-626
1474,realme,6
1475,realme,6
1476,realme,6i
1477,realme,8
1478,realme,8
1479,realme,8i
1480,realme,9
1481,realme,9
1482,realme,9
1483,realme,9
1484,realme,9 pro
1485,realme,c11
1486,realme,c11
1487,realme,c11
1488,realme,c11
1489,realme,c21
1490,realme,c21
1491,realme,c31
1492,realme,c33
1493,realme,c35
1494,realme,c55
1495,realme,gt
1496,realme,gt neo 3
1497,realme,gt neo 3
1498,realme,narzo 30
1499,realme,x50 pro
1500,spc,discovery
1501,spc,smart 2
1502,spc,smart 3
1503,spc,smart max 2
1504,spc,smart pro
1505,samsung,galaxy a03
1506,samsung,a03s
1507,samsung,galaxy a04s
1508,samsung,galaxy a12
1509,samsung,galaxy a12
1510,samsung,galaxy a13
1511,samsung,galaxy a13
1512,samsung,galaxy a13
1513,samsung,galaxy a13
1514,samsung,galaxy a13
1515,samsung,galaxy a13
1516,samsung,galaxy a13
1517,samsung,galaxy a13
1518,samsung,galaxy a13
1519,samsung,galaxy a13
1520,samsung,galaxy a14
1521,samsung,galaxy a23
1522,samsung,galaxy a23
1523,samsung,galaxy a23
1524,samsung,galaxy a23
1525,samsung,galaxy a31
1526,samsung,galaxy a33
1527,samsung,galaxy a33
1528,samsung,galaxy a33
1529,samsung,galaxy a33
1530,samsung,galaxy a41
1531,samsung,galaxy a41
1532,samsung,galaxy a41
1533,samsung,galaxy a42
1534,samsung,galaxy a51
1535,samsung,galaxy a51
1536,samsung,galaxy a52s
1537,samsung,galaxy a52s
1538,samsung,galaxy a52s
1539,samsung,galaxy a53
1540,samsung,galaxy a53
1541,samsung,galaxy a53
1542,samsung,galaxy a53
1543,samsung,galaxy a53
1544,samsung,galaxy a53
1545,samsung,galaxy a70
1546,samsung,galaxy a9
1547,samsung,a90
1548,samsung,galaxy m13
1549,samsung,galaxy m32
1550,samsung,galaxy m53
1551,samsung,galaxy note 10
1552,samsung,galaxy note 10
1553,samsung,galaxy note 20
1554,samsung,note 9
1555,samsung,s10+
1556,samsung,s10+
1557,samsung,galaxy s20
1558,samsung,galaxy s20
1559,samsung,galaxy s20
1560,samsung,galaxy s20
1561,samsung,galaxy s20
1562,samsung,galaxy s20
1563,samsung,galaxy s20
1564,samsung,galaxy s20
1565,samsung,galaxy s21
1566,samsung,galaxy s21
1567,samsung,galaxy s21
1568,samsung,galaxy s21
1569,samsung,galaxy s21
1570,samsung,galaxy s21
1571,samsung,galaxy s22
1572,samsung,galaxy s22
1573,samsung,galaxy s22
1574,samsung,galaxy s22
1575,samsung,galaxy s22
1576,samsung,galaxy s22
1577,samsung,galaxy s22
1578,samsung,galaxy s22
1579,samsung,galaxy s22
1580,samsung,galaxy s22
1581,samsung,galaxy s22
1582,samsung,galaxy s23
1583,samsung,galaxy s23
1584,samsung,galaxy s23
1585,samsung,galaxy s23
1586,samsung,galaxy s23
1587,samsung,galaxy s8
1588,samsung,galaxy s8
1589,samsung,galaxy s8
1590,samsung,z flip
1591,samsung,galaxy z flip 3
1592,samsung,galaxy z flip 3
1593,samsung,galaxy z flip 3
1594,samsung,galaxy z flip 3
1595,samsung,galaxy z flip4
1596,samsung,galaxy z flip4
1597,samsung,galaxy z flip4
1598,samsung,galaxy z flip4
1599,samsung,galaxy z flip4
1600,samsung,galaxy z flip4
1601,samsung,galaxy z flip4
1602,samsung,galaxy z flip4
1603,samsung,galaxy z flip4
1604,samsung,galaxy z flip4
1605,samsung,galaxy z fold 3
1606,samsung,galaxy z fold 3
1607,samsung,galaxy z fold4
1608,sony,xperia l1
1609,swissvoice,s510-m
1610,tcl,10
1611,tcl,10
1612,tcl,10
1613,tcl,20
1614,tcl,20 r
1615,tcl,205
1616,tcl,205
1617,tcl,20l
1618,tcl,30e
1619,tcl,405
1620,tcl,405
1621,ulefone,11t
1622,ulefone,armor 17
1623,ulefone,20wt
1624,ulefone,armor 8
1625,ulefone,armor 8
1626,ulefone,armor x10
1627,ulefone,x5
1628,ulefone,x5 pro
1629,ulefone,x5 pro
1630,ulefone,x7
1631,ulefone,armor x9
1632,ulefone,armor x9
1633,ulefone,note 7
1634,ulefone,note 8p
1635,ulefone,power armor 13
1636,ulefone,power armor 14
1637,ulefone,power armor 16
1638,vivo,v23
1639,vivo,x60 pro
1640,vivo,y01
1641,vivo,y21
1642,vivo,y21
1643,vivo,y21s
1644,vivo,y33s
1645,vivo,y52
1646,xiaomi,11t
1647,xiaomi,11t
1648,xiaomi,11t
1649,xiaomi,11t pro
1650,xiaomi,11t pro
1651,xiaomi,12
1652,xiaomi,12t
1653,xiaomi,12t
1654,xiaomi,mi 10t
1655,xiaomi,mi 10t
1656,xiaomi,mi 10t
1657,xiaomi,mi 11
1658,xiaomi,mi 11
1659,xiaomi,mi 11i
1660,xiaomi,mi 9
1661,xiaomi,mi 9
1662,xiaomi,mi 9
1663,xiaomi,mi mix 3
1664,xiaomi,mi mix 2
1665,xiaomi,mi mix
1666,xiaomi,mi note 10
1667,xiaomi,poco m3
1668,xiaomi,poco m3
1669,xiaomi,pack mi 10
1670,xiaomi,pocophone f3
1671,xiaomi,redmi 10
1672,xiaomi,redmi 10
1673,xiaomi,redmi 10
1674,xiaomi,redmi 10a
1675,xiaomi,redmi 10a
1676,xiaomi,redmi 10c
1677,xiaomi,redmi 9
1678,xiaomi,redmi 9a
1679,xiaomi,redmi 9a
1680,xiaomi,redmi 9a
1681,xiaomi,redmi 9a
1682,xiaomi,redmi 9at
1683,xiaomi,redmi 9c
1684,xiaomi,redmi 9c
1685,xiaomi,redmi 9c
1686,xiaomi,redmi 9c
1687,xiaomi,redmi 9c
1688,xiaomi,redmi a1
1689,xiaomi,redmi a1
1690,xiaomi,redmi note 10
1691,xiaomi,redmi note 10
1692,xiaomi,redmi note 10
1693,xiaomi,redmi note 10
1694,xiaomi,redmi note 10
1695,xiaomi,redmi note 10
1696,xiaomi,redmi note 10
1697,xiaomi,note 10s
1698,xiaomi,note 10s
1699,xiaomi,redmi note 11
1700,xiaomi,11 pro
1701,xiaomi,11 pro
1702,xiaomi,11 pro
1703,xiaomi,11 pro
1704,xiaomi,11 pro
1705,xiaomi,11 pro
1706,xiaomi,11 pro
1707,xiaomi,11 pro
1708,xiaomi,redmi note 12
1709,xiaomi,redmi note 8
1710,xiaomi,redmi note 9
1711,xiaomi,9 pro
1712,xiaomi,note 9s
1713,xiaomi,redmi note 9t
1714,xiaomi,redmi note 9t
1715,zte,blade a31
1716,zte,blade a5
1717,zte,blade a5
1718,zte,blade a51
1719,zte,blade a71
1720,zte,blade v30
1721,realme,7
1722,realme,8
1723,realme,c21
1724,alcatel,1se
1725,apple,iphone 11
1726,apple,iphone 11
1727,apple,iphone 13
1728,apple,iphone 13
1729,apple,iphone 13
1730,apple,iphone 13
1731,apple,iphone 13
1732,apple,iphone 13
1733,apple,iphone 13
1734,apple,iphone 13
1735,apple,iphone 6s
1736,apple,iphone 6s
1737,apple,iphone 6s
1738,apple,iphone 6s
1739,apple,iphone 6s
1740,apple,iphone 6s
1741,apple,iphone 7
1742,apple,iphone xr
1743,apple,iphone xr
1744,apple,iphone xs
1745,crosscall,x3
1746,crosscall,core-m4
1747,crosscall,x4
1748,honor,7x
1749,huawei,mate 20
1750,huawei,mate 20
1751,huawei,y6p
1752,lenovo,legion phone duel
1753,motorola,moto g5s
1754,motorola,moto g5s
1755,nokia,8.3
1756,oppo,x5 pro
1757,oneplus,6t
1758,oneplus,7
1759,oneplus,7t
1760,oppo,a91
1761,oppo,reno2 z
1762,poco,x3
1763,poco,x3
1764,realme,9
1765,realme,x2
1766,samsung,galaxy a10
1767,samsung,galaxy a32
1768,samsung,galaxy a50
1769,samsung,galaxy a52
1770,samsung,galaxy a52
1771,samsung,a80
1772,samsung,galaxy note 10
1773,samsung,galaxy note 20
1774,samsung,galaxy note 20
1775,samsung,note 9
1776,samsung,galaxy s10
1777,samsung,galaxy s10
1778,samsung,galaxy s10
1779,samsung,s10+
1780,samsung,s10+
1781,samsung,s10e
1782,samsung,galaxy s20
1783,samsung,galaxy s22
1784,samsung,galaxy s22
1785,samsung,galaxy s22
1786,samsung,galaxy s8
1787,samsung,galaxy z flip 3
1788,samsung,galaxy z flip 3
1789,samsung,galaxy z flip 3
1790,samsung,galaxy z flip 3
1791,samsung,galaxy z fold 3
1792,samsung,galaxy z fold 3
1793,samsung,galaxy z fold4
1794,samsung,galaxy z fold4
1795,xiaomi,11 lite
1796,xiaomi,11t pro
1797,xiaomi,10
1798,xiaomi,10
1799,xiaomi,mi 10t
1800,xiaomi,mi 11
1801,xiaomi,mi note 10
1802,xiaomi,mi note 10
1803,xiaomi,mi note 10
1804,xiaomi,x3
1805,xiaomi,pocophone f2
1806,xiaomi,redmi 9
1807,xiaomi,9t
1808,xiaomi,redmi note 10
1809,xiaomi,redmi note 10
1810,xiaomi,redmi note 8
1811,xiaomi,redmi note 8
1812,xiaomi,redmi note 8t
1813,xiaomi,redmi note 9
1814,xiaomi,note 9s
1815,xiaomi,note 9s
